date,language,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,hobby,pageviews
2020-02-17,Vietnamese,,,0,0,47.22,book,19
2020-02-17,Tamil,,,1,1,10.19,book,24
2020-02-17,Serbian,,,0,0,0.0,book,2
2020-02-17,Japanese,,,0,0,19.44,book,303
2020-02-17,German (CHE),,,0,0,0.0,book,240
2020-02-18,German (AUT),,,0,0,19.44,book,204
2020-02-18,German (DEU),,,0,0,11.11,book,204
2020-02-18,Japanese,,,0,0,19.44,book,354
2020-02-18,German (CHE),,,0,0,0.0,book,204
2020-02-18,Serbian,,,0,0,0.0,book,1
2020-02-18,Vietnamese,,,0,0,47.22,book,32
2020-02-18,Tamil,,,1,1,10.19,book,26
2020-02-19,Vietnamese,,,0,0,47.22,book,38
2020-02-19,German (CHE),,,0,0,0.0,book,245
2020-02-19,German (DEU),,,0,0,11.11,book,245
2020-02-19,German (AUT),,,0,0,19.44,book,245
2020-02-19,Tamil,,,1,1,10.19,book,15
2020-02-19,Serbian,,,0,0,0.0,book,2
2020-02-19,Japanese,,,0,0,19.44,book,266
2020-02-20,Tamil,,,1,1,10.19,book,36
2020-02-20,Serbian,,,0,0,0.0,book,2
2020-02-20,Japanese,,,0,0,25.0,book,452
2020-02-20,German (AUT),,,0,0,19.44,book,222
2020-02-20,German (DEU),,,0,0,11.11,book,222
2020-02-20,German (CHE),,,0,0,0.0,book,222
2020-02-20,Vietnamese,,,0,0,47.22,book,26
2020-02-21,Japanese,,,0,0,25.0,book,314
2020-02-21,German (CHE),,,0,0,0.0,book,214
2020-02-21,Tamil,,,1,1,10.19,book,15
2020-02-21,Vietnamese,,,0,0,47.22,book,24
2020-02-21,German (DEU),,,0,0,11.11,book,214
2020-02-21,German (AUT),,,0,0,19.44,book,214
2020-02-21,Serbian,,,0,0,0.0,book,1
2020-02-22,Tamil,,,1,1,10.19,book,11
2020-02-22,Vietnamese,,,0,0,47.22,book,27
2020-02-22,Japanese,,,0,0,25.0,book,142
2020-02-22,Serbian,,,0,0,0.0,book,4
2020-02-22,German (AUT),,,0,0,19.44,book,157
2020-02-22,German (CHE),,,0,0,0.0,book,157
2020-02-22,German (DEU),,,0,0,11.11,book,157
2020-02-23,Tamil,,,1,1,10.19,book,15
