,country,date,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,stay_home_requirements,after_lockdown_start,stringency_index,language
2370,JPN,2020-12-04,-0.03299477695167286,0.11076204460966542,1,1,,Japanese
2371,IND,2020-12-04,-0.07120589586523737,0.1397399846860643,2,1,,Tamil
2372,CHE,2020-12-04,-0.0923444,0.19025999999999998,1,1,,German
2373,JPN,2020-12-05,-0.029919457943925237,0.1417082429906542,1,1,,Japanese
2374,AUT,2020-12-05,-0.2659855555555556,0.28918666666666665,2,1,,German
2375,DEU,2020-12-05,-0.0727525,0.273648125,1,1,,German
2376,IND,2020-12-05,-0.06176696319018406,0.13901854294478527,2,1,,Tamil
2377,VNM,2020-12-05,0.1633038319088319,0.2064255413105413,2,1,,Vietnamese
2378,CHE,2020-12-05,-0.159632,0.2351024,1,1,,German
2379,SRB,2020-12-05,-0.16511800000000001,0.2766744,1,1,,Serbian
2380,AUT,2020-12-06,-0.3316322222222222,0.43158,2,1,,German
2381,IND,2020-12-06,-0.07216802147239264,0.15383604294478528,2,1,,Tamil
2382,VNM,2020-12-06,0.16932874643874643,0.2178935754985755,2,1,,Vietnamese
2383,DEU,2020-12-06,-0.1793925,0.4334825,1,1,,German
2384,SRB,2020-12-06,-0.2155824,0.32943199999999995,1,1,,Serbian
2385,JPN,2020-12-06,-0.03827746240601504,0.16541449248120302,1,1,,Japanese
2386,CHE,2020-12-06,-0.2823188,0.37857,1,1,,German
2387,SRB,2020-12-07,-0.1208728,0.23912879999999997,1,1,,Serbian
2388,IND,2020-12-07,-0.031383006134969325,0.128254754601227,2,1,,Tamil
2389,DEU,2020-12-07,-0.00881375,0.2117325,1,1,,German
2390,VNM,2020-12-07,0.12040045584045583,0.19604998575498578,2,1,,Vietnamese
2391,CHE,2020-12-07,-0.05885359999999999,0.1963404,1,1,,German
2392,AUT,2020-12-07,-0.01584666666666667,0.1980211111111111,2,1,,German
2393,JPN,2020-12-07,-0.02682659217877095,0.1179687895716946,1,1,,Japanese
2394,DEU,2020-12-08,-0.0012837500000000008,0.207214375,1,1,,German
2395,AUT,2020-12-08,-0.3017222222222222,0.3321855555555555,2,1,,German
2396,JPN,2020-12-08,-0.018720241635687734,0.11657059479553902,1,1,,Japanese
2397,SRB,2020-12-08,-0.1161416,0.22957840000000002,1,1,,Serbian
2398,CHE,2020-12-08,-0.09860479999999999,0.2303656,1,1,,German
2399,VNM,2020-12-08,0.13625717329545453,0.19899058238636363,2,1,,Vietnamese
2400,IND,2020-12-08,-0.12861187116564418,0.1497840490797546,2,1,,Tamil
2401,IND,2020-12-09,-0.036815904907975455,0.13178992331288344,2,1,,Tamil
2402,AUT,2020-12-09,-0.04544666666666666,0.20252444444444445,2,1,,German
