Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
2/6/2020,19,19,9,25,44,35,61,27,22,152,Vietnamese
2/7/2020,27,25,30,29,49,46,63,25,11,86,Vietnamese
2/8/2020,17,18,9,32,43,38,42,40,19,54,Vietnamese
2/9/2020,19,17,15,26,39,39,55,32,10,37,Vietnamese
2/10/2020,30,24,18,23,53,38,55,40,11,61,Vietnamese
2/11/2020,32,18,14,27,41,34,73,24,16,103,Vietnamese
2/12/2020,31,24,21,43,56,40,60,25,12,67,Vietnamese
2/13/2020,22,24,20,27,62,41,70,19,13,68,Vietnamese
2/14/2020,25,12,18,22,42,40,52,21,15,66,Vietnamese
2/15/2020,20,24,16,16,44,19,57,21,25,57,Vietnamese
2/16/2020,29,18,20,30,26,26,53,9,22,62,Vietnamese
2/17/2020,19,28,23,30,46,35,82,22,12,82,Vietnamese
2/18/2020,32,17,16,45,47,36,56,19,28,66,Vietnamese
2/19/2020,38,20,25,29,48,40,78,19,21,55,Vietnamese
2/20/2020,26,29,18,24,49,39,52,22,11,74,Vietnamese
2/21/2020,24,32,19,32,61,71,72,25,18,60,Vietnamese
2/22/2020,27,26,18,28,59,50,57,16,32,62,Vietnamese
2/23/2020,18,35,22,19,39,28,54,15,24,48,Vietnamese
2/24/2020,23,21,27,26,54,44,54,23,20,52,Vietnamese
2/25/2020,14,26,24,30,46,84,55,21,18,63,Vietnamese
2/26/2020,20,46,24,22,47,386,72,25,14,73,Vietnamese
2/27/2020,24,32,25,30,45,322,60,35,13,63,Vietnamese
2/28/2020,12,24,21,25,60,204,64,22,16,56,Vietnamese
2/29/2020,18,16,17,22,44,133,45,22,11,55,Vietnamese
3/1/2020,20,28,25,23,38,119,60,28,16,43,Vietnamese
3/2/2020,24,41,14,30,58,119,58,21,18,67,Vietnamese
3/3/2020,38,39,19,34,57,100,74,15,23,95,Vietnamese
3/4/2020,25,21,15,41,62,101,63,23,26,90,Vietnamese
3/5/2020,34,29,23,38,39,86,72,19,23,114,Vietnamese
3/6/2020,19,19,13,17,43,78,67,24,10,106,Vietnamese
3/7/2020,20,17,11,20,31,89,71,12,19,48,Vietnamese
3/8/2020,20,16,20,27,59,74,62,26,15,65,Vietnamese
3/9/2020,27,22,21,28,39,86,61,23,17,75,Vietnamese
3/10/2020,29,30,10,18,62,95,66,28,21,88,Vietnamese
3/11/2020,63,33,15,16,63,70,61,18,17,72,Vietnamese
3/12/2020,38,28,19,31,51,104,75,17,14,60,Vietnamese
3/13/2020,24,26,21,20,57,81,71,23,15,50,Vietnamese
3/14/2020,31,30,25,19,56,74,91,19,16,83,Vietnamese
3/15/2020,20,41,20,28,41,58,75,19,11,71,Vietnamese
3/16/2020,35,25,23,41,54,50,113,24,16,88,Vietnamese
3/17/2020,26,29,21,31,51,73,77,21,15,77,Vietnamese
3/18/2020,32,18,19,47,40,89,86,20,13,86,Vietnamese
3/19/2020,22,20,14,19,50,88,83,9,21,78,Vietnamese
3/20/2020,19,27,14,21,45,69,87,12,16,74,Vietnamese
3/21/2020,22,18,36,28,67,99,82,21,16,67,Vietnamese
3/22/2020,19,20,18,26,61,56,57,24,25,76,Vietnamese
3/23/2020,30,20,21,32,37,92,89,25,30,54,Vietnamese
3/24/2020,29,22,27,29,58,534,69,21,16,83,Vietnamese
3/25/2020,30,19,20,47,63,172,73,27,14,69,Vietnamese
3/26/2020,29,28,23,31,49,144,85,19,11,65,Vietnamese
3/27/2020,19,20,15,34,43,89,56,32,17,64,Vietnamese
3/28/2020,18,29,21,58,56,101,106,16,25,53,Vietnamese
3/29/2020,26,35,13,60,63,93,88,25,28,70,Vietnamese
3/30/2020,46,31,23,39,61,74,78,16,18,58,Vietnamese
3/31/2020,51,19,23,39,52,74,71,20,17,86,Vietnamese
4/1/2020,65,33,19,49,65,85,87,23,12,69,Vietnamese
4/2/2020,31,20,15,45,63,83,85,32,15,83,Vietnamese
4/3/2020,44,52,19,63,74,73,81,32,26,153,Vietnamese
4/4/2020,36,23,38,43,55,99,96,21,18,98,Vietnamese
4/5/2020,41,24,15,55,57,88,98,32,17,91,Vietnamese
4/6/2020,40,32,20,46,73,110,95,82,27,89,Vietnamese
4/7/2020,35,36,42,32,67,79,85,40,21,106,Vietnamese
4/8/2020,33,25,28,39,81,101,117,33,19,108,Vietnamese
4/9/2020,29,41,21,51,89,87,95,35,23,106,Vietnamese
4/10/2020,39,26,29,51,66,89,80,44,13,110,Vietnamese
4/11/2020,42,33,30,39,80,75,74,38,17,100,Vietnamese
4/12/2020,34,34,28,52,63,87,82,29,18,92,Vietnamese
4/13/2020,37,26,40,33,73,66,96,22,19,113,Vietnamese
4/14/2020,29,17,49,43,60,98,118,27,99,147,Vietnamese
4/15/2020,64,36,52,47,53,87,93,22,12,139,Vietnamese
4/16/2020,52,23,23,60,66,86,134,24,11,124,Vietnamese
4/17/2020,28,21,22,45,49,79,122,36,13,100,Vietnamese
4/18/2020,35,33,28,37,61,66,110,29,27,113,Vietnamese
4/19/2020,42,29,25,33,52,52,119,25,19,99,Vietnamese
4/20/2020,49,23,33,42,63,80,80,26,18,112,Vietnamese
4/21/2020,44,31,47,35,49,63,74,23,18,105,Vietnamese
4/22/2020,36,24,32,45,55,65,105,19,10,193,Vietnamese
4/23/2020,42,38,39,30,71,72,89,18,24,228,Vietnamese
4/24/2020,36,20,27,53,59,71,87,30,8,178,Vietnamese
4/25/2020,34,20,29,39,56,63,87,14,24,140,Vietnamese
4/26/2020,23,32,20,31,56,93,124,24,22,127,Vietnamese
4/27/2020,47,22,25,56,49,110,106,16,17,129,Vietnamese
4/28/2020,56,22,32,44,46,94,111,59,19,135,Vietnamese
4/29/2020,37,28,16,33,38,103,75,14,9,135,Vietnamese
4/30/2020,13,23,22,23,46,67,87,16,12,82,Vietnamese
5/1/2020,20,21,35,27,43,75,68,20,16,69,Vietnamese
5/2/2020,16,26,24,28,39,52,68,24,12,100,Vietnamese
5/3/2020,31,31,16,21,50,55,93,16,16,108,Vietnamese
5/4/2020,35,25,20,25,41,57,80,30,17,92,Vietnamese
5/5/2020,34,25,31,24,49,54,118,22,20,113,Vietnamese
5/6/2020,34,32,41,19,54,62,140,22,16,121,Vietnamese
5/7/2020,46,26,18,27,49,66,122,55,11,96,Vietnamese
5/8/2020,63,21,19,19,65,73,95,17,17,101,Vietnamese
5/9/2020,37,25,34,27,51,56,77,17,12,69,Vietnamese
5/10/2020,48,22,18,26,46,56,90,14,17,65,Vietnamese
5/11/2020,29,22,21,30,97,81,101,17,16,84,Vietnamese
5/12/2020,31,24,31,24,42,115,143,22,14,74,Vietnamese
5/13/2020,27,17,22,29,35,95,133,13,12,90,Vietnamese
5/14/2020,35,30,17,31,56,101,100,27,15,70,Vietnamese
5/15/2020,29,18,15,17,50,86,120,22,17,81,Vietnamese
5/16/2020,23,14,17,43,60,77,90,23,23,59,Vietnamese
5/17/2020,46,31,30,28,73,64,94,17,15,67,Vietnamese
5/18/2020,38,24,27,24,49,64,133,18,11,81,Vietnamese
5/19/2020,31,33,23,20,58,74,112,26,20,82,Vietnamese
5/20/2020,39,29,30,20,67,97,133,16,12,96,Vietnamese
5/21/2020,37,17,47,22,56,88,142,22,16,95,Vietnamese
5/22/2020,36,27,37,26,41,95,113,10,14,71,Vietnamese
5/23/2020,28,15,24,38,42,49,75,18,16,79,Vietnamese
5/24/2020,37,14,20,23,45,60,78,13,18,77,Vietnamese
5/25/2020,60,20,19,33,50,71,108,21,21,153,Vietnamese
5/26/2020,39,30,15,32,55,82,138,21,10,113,Vietnamese
5/27/2020,33,46,23,21,51,69,131,21,19,95,Vietnamese
5/28/2020,23,17,26,28,50,94,99,21,14,96,Vietnamese
