Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
19/10/2019,13,0,0,4,5,1,1,0,0,8,Macedonian
20/10/2019,21,1,0,7,1,4,6,3,0,11,Macedonian
21/10/2019,10,0,0,5,5,6,5,4,0,10,Macedonian
22/10/2019,10,0,0,6,7,7,6,1,0,8,Macedonian
23/10/2019,24,0,0,3,6,4,2,0,0,12,Macedonian
24/10/2019,22,0,1,4,3,6,3,2,0,9,Macedonian
25/10/2019,9,0,0,7,4,1,3,2,0,28,Macedonian
26/10/2019,14,2,1,7,5,4,6,8,0,37,Macedonian
27/10/2019,22,0,0,2,2,1,2,0,0,66,Macedonian
28/10/2019,23,1,1,4,7,4,1,3,0,22,Macedonian
29/10/2019,32,0,1,3,6,6,5,5,0,8,Macedonian
30/10/2019,26,0,1,1,7,2,4,2,0,6,Macedonian
31/10/2019,9,0,0,1,2,4,3,9,0,5,Macedonian
1/11/2019,11,0,1,7,9,0,4,2,0,7,Macedonian
2/11/2019,14,0,2,6,2,1,4,3,0,1,Macedonian
3/11/2019,19,0,2,1,3,2,4,6,0,6,Macedonian
4/11/2019,16,0,2,6,12,4,0,2,0,12,Macedonian
5/11/2019,17,0,1,11,9,9,5,4,0,10,Macedonian
6/11/2019,28,0,0,3,5,3,1,3,0,3,Macedonian
7/11/2019,16,1,1,6,1,6,4,3,0,4,Macedonian
8/11/2019,14,1,1,8,2,4,2,0,0,6,Macedonian
9/11/2019,19,0,0,12,6,2,6,6,0,7,Macedonian
10/11/2019,15,0,2,11,12,4,6,3,0,7,Macedonian
11/11/2019,19,0,1,9,1,2,4,5,0,12,Macedonian
12/11/2019,21,0,1,11,5,2,7,1,0,11,Macedonian
13/11/2019,13,1,3,9,6,4,5,6,0,6,Macedonian
14/11/2019,17,0,0,5,5,5,5,2,0,8,Macedonian
15/11/2019,14,0,3,10,3,2,10,2,0,12,Macedonian
16/11/2019,12,0,4,12,6,3,3,3,0,4,Macedonian
17/11/2019,16,0,1,22,1,16,6,2,0,19,Macedonian
18/11/2019,30,0,3,11,8,11,8,0,0,27,Macedonian
19/11/2019,37,0,4,8,7,16,5,5,0,28,Macedonian
20/11/2019,15,0,1,1,3,8,3,1,0,2,Macedonian
21/11/2019,17,0,1,5,7,10,9,4,0,6,Macedonian
22/11/2019,5,0,0,4,0,7,4,2,0,3,Macedonian
23/11/2019,6,0,1,10,4,2,0,1,0,7,Macedonian
24/11/2019,17,1,4,5,6,5,2,2,0,7,Macedonian
25/11/2019,9,0,3,6,3,13,3,2,0,14,Macedonian
26/11/2019,18,0,2,4,5,12,3,3,0,32,Macedonian
27/11/2019,28,0,1,9,2,6,5,2,0,16,Macedonian
28/11/2019,17,0,1,16,11,19,4,1,0,21,Macedonian
29/11/2019,12,0,0,7,14,2,1,2,0,6,Macedonian
30/11/2019,13,0,1,7,5,9,5,2,0,15,Macedonian
1/12/2019,23,0,1,10,9,8,6,2,0,19,Macedonian
2/12/2019,24,0,1,4,10,4,1,1,0,68,Macedonian
3/12/2019,14,1,0,7,8,5,9,3,0,5,Macedonian
4/12/2019,18,2,3,9,3,4,1,4,0,16,Macedonian
5/12/2019,15,0,1,5,6,1,2,2,0,10,Macedonian
6/12/2019,7,0,1,10,7,7,2,2,0,2,Macedonian
7/12/2019,4,2,2,9,3,5,9,2,0,5,Macedonian
8/12/2019,5,0,1,12,1,10,7,5,0,5,Macedonian
9/12/2019,11,0,1,15,5,6,2,5,0,5,Macedonian
10/12/2019,12,0,4,5,10,8,4,3,0,14,Macedonian
11/12/2019,18,0,0,10,2,10,2,5,0,12,Macedonian
12/12/2019,8,0,1,8,3,0,7,2,0,31,Macedonian
13/12/2019,10,0,1,3,5,8,2,2,0,7,Macedonian
14/12/2019,3,0,0,6,0,2,3,1,0,16,Macedonian
