Date,Book,Jogging,Origami,Board Games,Yoga,Bread,Orchids,Calligraphy,Mindfulness,Podcast,Language
1/1/2020,2,7,4,159,8,15,8,6,5,18,Serbian
2/1/2020,0,9,0,133,11,21,8,6,2,23,Serbian
3/1/2020,2,4,1,104,12,24,13,7,3,26,Serbian
4/1/2020,0,15,1,114,16,8,17,7,0,11,Serbian
5/1/2020,1,18,0,115,12,19,19,14,1,23,Serbian
6/1/2020,2,10,3,74,11,32,16,8,8,17,Serbian
7/1/2020,1,12,3,128,10,24,18,6,3,23,Serbian
8/1/2020,8,15,2,72,14,11,10,13,0,24,Serbian
9/1/2020,5,14,3,52,31,18,8,20,5,18,Serbian
10/1/2020,5,13,0,60,19,17,6,17,7,21,Serbian
11/1/2020,0,10,2,83,29,19,26,18,2,19,Serbian
12/1/2020,5,21,1,83,20,29,21,16,2,30,Serbian
13/01/2020,0,9,3,59,20,29,7,11,1,30,Serbian
14/01/2020,3,14,3,57,23,17,14,22,7,27,Serbian
15/01/2020,2,13,4,47,20,20,18,21,9,63,Serbian
16/01/2020,2,9,3,32,19,19,18,17,2,25,Serbian
17/01/2020,4,18,2,28,17,27,9,23,3,32,Serbian
18/01/2020,0,16,1,87,16,22,21,8,10,31,Serbian
19/01/2020,5,9,0,79,20,20,16,15,5,38,Serbian
20/01/2020,5,21,2,42,9,17,16,18,3,26,Serbian
21/01/2020,2,18,0,28,13,29,28,15,4,32,Serbian
22/01/2020,5,22,2,41,15,27,20,26,9,49,Serbian
23/01/2020,2,13,1,32,25,20,8,37,1,27,Serbian
24/01/2020,3,13,1,47,29,20,11,35,6,24,Serbian
25/01/2020,2,16,1,67,16,22,23,18,1,25,Serbian
26/01/2020,5,15,1,54,16,16,19,19,9,20,Serbian
27/01/2020,3,26,2,43,17,21,23,13,4,27,Serbian
28/01/2020,1,13,2,33,20,28,28,13,1,32,Serbian
29/01/2020,3,13,2,33,23,39,32,14,4,19,Serbian
30/01/2020,4,16,2,21,24,21,12,114,1,40,Serbian
31/01/2020,5,23,0,33,8,22,14,15,0,32,Serbian
1/2/2020,5,14,1,59,17,28,12,10,5,25,Serbian
2/2/2020,0,11,3,48,32,16,28,12,5,35,Serbian
3/2/2020,13,28,2,44,36,22,8,10,4,38,Serbian
4/2/2020,4,16,5,51,33,23,20,14,5,52,Serbian
5/2/2020,7,18,1,52,27,19,15,17,3,43,Serbian
6/2/2020,0,21,1,56,20,16,9,17,10,35,Serbian
7/2/2020,7,11,3,49,21,12,16,7,2,27,Serbian
8/2/2020,2,11,0,76,18,25,15,16,4,25,Serbian
9/2/2020,10,16,0,88,29,22,27,13,2,36,Serbian
10/2/2020,3,19,2,57,35,23,21,17,4,41,Serbian
11/2/2020,2,16,2,51,19,24,21,26,5,37,Serbian
12/2/2020,5,11,3,43,19,24,19,12,2,64,Serbian
13/02/2020,2,14,3,60,19,14,22,14,1,36,Serbian
14/02/2020,4,18,0,56,21,22,45,12,6,31,Serbian
15/02/2020,3,13,2,75,17,19,33,21,7,30,Serbian
16/02/2020,2,12,3,81,16,10,26,14,4,33,Serbian
17/02/2020,2,8,1,57,19,17,24,14,6,27,Serbian
18/02/2020,1,13,1,40,14,17,18,19,2,33,Serbian
19/02/2020,2,9,2,40,16,33,20,15,1,27,Serbian
20/02/2020,2,12,0,44,14,20,17,18,9,45,Serbian
21/02/2020,1,16,2,33,26,24,21,11,3,34,Serbian
22/02/2020,4,15,1,51,18,17,22,24,4,33,Serbian
23/02/2020,3,31,0,33,22,21,21,10,4,28,Serbian
24/02/2020,3,20,6,27,22,26,54,32,6,41,Serbian
25/02/2020,7,22,1,36,16,28,21,17,7,28,Serbian
26/02/2020,4,24,7,18,21,35,18,20,1,56,Serbian
27/02/2020,1,20,8,17,23,49,33,20,4,31,Serbian
28/02/2020,3,14,0,29,13,27,23,11,9,41,Serbian
29/02/2020,1,24,0,48,31,27,16,8,2,30,Serbian
1/3/2020,4,21,2,49,36,29,44,16,5,25,Serbian
2/3/2020,4,32,1,22,36,33,37,21,6,35,Serbian
3/3/2020,3,37,1,31,24,37,41,20,4,37,Serbian
